codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más,anio,mes
1.02.00.01.00.02.000,COPARTICIP.IMPOSITIVA ANO ACTUAL,"40000.000,00","3895.564,88","21295.166,11","18704.833,89","0,00",2017,7
1.02.00.01.00.03.000,COPARTICIPACION IMPOSITIVA EJERC. ANTER.,"2000.000,00","0,00","1906.000,87","93.999,13","0,00",2017,7
1.02.00.01.00.04.000,INGRESOS FO.FIN.DES PROVINCIAL,"6000.000,00","488.237,65","2937.977,27","3062.022,73","0,00",2017,7
1.02.00.01.00.04.001,CONVENIO SALUD,"6000.000,00","488.237,65","2937.977,27","3062.022,73","0,00",2017,7
1.02.00.01.00.05.000,FONDO DESCENTRALIZACION ANOS ANTERIORES,"250.000,00","0,00","0,00","250.000,00","0,00",2017,7
1.02.00.01.00.06.000,FONDO FEDERAL SOLIDARIO,"2000.000,00","216.125,27","1012.237,45","987.762,55","0,00",2017,7
1.02.00.01.00.07.000,Fondo Mant (FODEEMEP),"250.000,00","0,00","64.341,38","185.658,62","0,00",2017,7
1.02.00.01.00.08.000,Obra Agua Valle del Sol,"0,00","0,00","0,00","0,00","0,00",2017,7
1.02.00.01.00.09.000,Ingresos FASAMU,"1400.000,00","196.073,30","905.575,60","494.424,40","0,00",2017,7
1.02.00.01.00.10.000,FOMMEP,"100.000,00","0,00","55.365,98","44.634,02","0,00",2017,7
1.02.00.02.00.00.000,APORTES NO REINTEGRABLES,"7000.000,00","0,00","2940.000,00","4060.000,00","0,00",2017,7
1.02.00.02.00.02.000,SUBVENCIONES Y SUBSIDIOS PCIALES. Y NAC.,"3000.000,00","0,00","905.000,00","2095.000,00","0,00",2017,7
1.02.00.02.00.03.000,tranferencia fondo guarderia municipal,"0,00","0,00","0,00","0,00","0,00",2017,7
1.02.00.02.00.04.000,Catastrofe Climatologica,"4000.000,00","0,00","2035.000,00","1965.000,00","0,00",2017,7
1.02.00.03.00.00.000,OTROS INGRESOS DE OTRAS JURIDICCION,"6700.000,00","0,00","1663.300,00","5036.700,00","0,00",2017,7
1.02.00.03.00.05.000,OBRAS CONVENIOOS - GOBIERNO DE PCIA,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,7
1.02.00.03.00.06.000,OBRAS CONVENIOS- GOBIERNO DE LA NACION,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,7
1.02.00.03.00.07.000,PLAN VIVIENDA FEDERAL II HOGAR CLASE MEDIA,"0,00","0,00","0,00","0,00","0,00",2017,7
1.02.00.03.00.08.000,INGRESOS PLAN SUMAR,"50.000,00","0,00","13.300,00","36.700,00","0,00",2017,7
1.02.00.03.00.09.000,F.D.URBANO C.C. V DEL SOL,"1650.000,00","0,00","1650.000,00","0,00","0,00",2017,7
1.02.00.03.00.10.000,Fondo desarrollo urbano 2017,"2000.000,00","0,00","0,00","2000.000,00","0,00",2017,7
2.00.00.00.00.00.000,INGRESOS DE CAPITAL,"8395.000,00","1513.600,00","4759.408,00","3635.592,00","0,00",2017,7
2.01.00.00.00.00.000,USO DEL CREDITO,"4145.000,00","1300.000,00","3349.808,00","795.192,00","0,00",2017,7
2.01.00.01.00.00.000,DE INSTITUCIONES BANCARIAS,"4145.000,00","1300.000,00","3349.808,00","795.192,00","0,00",2017,7
2.01.00.01.00.01.000,BCO. bancor,"2120.000,00","0,00","2049.808,00","70.192,00","0,00",2017,7
2.01.00.01.00.02.000,Bco Macro,"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
2.01.00.01.00.03.000,bco Nacion Argentina,"5.000,00","0,00","0,00","5.000,00","0,00",2017,7
2.01.00.01.00.04.000,bco roelaondo Permanente,"5.000,00","0,00","0,00","5.000,00","0,00",2017,7
2.01.00.01.00.05.000,otros bancos,"5.000,00","0,00","0,00","5.000,00","0,00",2017,7
2.01.00.01.00.06.000,credito fondo permante,"2000.000,00","1300.000,00","1300.000,00","700.000,00","0,00",2017,7
2.03.00.00.00.00.000,VENTA DE BIENES PATRIMONIALES,"3750.000,00","213.600,00","1409.600,00","2340.400,00","0,00",2017,7
2.03.00.01.00.00.000,BIENES MUEBLES,"3600.000,00","213.600,00","1409.600,00","2190.400,00","0,00",2017,7
2.03.00.01.00.04.000,"VTA.CHAPAS PATENTES,SUPLEM., CARNETS, ETC.","3000.000,00","213.600,00","1312.600,00","1687.400,00","0,00",2017,7
2.03.00.01.00.05.000,VENTAS DE MAQUINARIAS EQUIPOS Y SIMILARES,"500.000,00","0,00","0,00","500.000,00","0,00",2017,7
2.03.00.01.00.06.000,OTRAS VENTAS,"100.000,00","0,00","97.000,00","3.000,00","0,00",2017,7
2.03.00.02.00.00.000,BIENES INMUEBLES,"150.000,00","0,00","0,00","150.000,00","0,00",2017,7
2.03.00.02.00.04.000,Venta de Terrenos Municipales,"150.000,00","0,00","0,00","150.000,00","0,00",2017,7
2.04.00.00.00.00.000,OTROS INGRESOS DE CAPITAL,"500.000,00","0,00","0,00","500.000,00","0,00",2017,7
2.04.00.02.00.00.000,EXCEDENTES LIQUIDOS EJERCICIOS ANTERIORES,"500.000,00","0,00","0,00","500.000,00","0,00",2017,7
2.04.00.02.00.01.000,SALDO EJERCICIO ANTERIOR (CAJA MAS BANCO,"500.000,00","0,00","0,00","500.000,00","0,00",2017,7
3.00.00.00.00.00.000,NO CLASIFICADOS,"9480.000,00","3.909,00","35.704,00","9444.296,00","0,00",2017,7
3.01.00.00.00.00.000,CUENTAS DE ORDEN,"9480.000,00","3.909,00","35.704,00","9444.296,00","0,00",2017,7
3.01.00.01.00.00.000,POR TRABAOS PUBLICOS,"100.000,00","0,00","0,00","100.000,00","0,00",2017,7
3.01.00.01.00.01.000,FONDO POR REPARO,"50.000,00","0,00","0,00","50.000,00","0,00",2017,7
3.01.00.01.00.02.000,GARANTIA DE LICITACIONES,"50.000,00","0,00","0,00","50.000,00","0,00",2017,7
3.01.00.02.00.00.000,OTRAS CAUSAS,"9380.000,00","3.909,00","35.704,00","9344.296,00","0,00",2017,7
3.01.00.02.00.01.000,RETENCION  18%  APORTE PERSONAL,"6000.000,00","0,00","0,00","6000.000,00","0,00",2017,7
3.01.00.02.00.02.000,RETENCION DE apross,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,7
3.01.00.02.00.03.000,RETENCION SEGURO DE VIDA,"100.000,00","0,00","0,00","100.000,00","0,00",2017,7
3.01.00.02.00.04.000,APORTE SINDICALES,"800.000,00","0,00","0,00","800.000,00","0,00",2017,7
3.01.00.02.00.05.000,RETENCIONES TELEFONIA CELULAR,"500.000,00","0,00","0,00","500.000,00","0,00",2017,7
3.01.00.02.00.06.000,RETENCION PRESTAMOS PERSONALES,"200.000,00","0,00","0,00","200.000,00","0,00",2017,7
3.01.00.02.00.07.000,RETENCION SEGUROS PARTICULARES PERSONAL,"120.000,00","0,00","0,00","120.000,00","0,00",2017,7
3.01.00.02.00.08.000,RETENCION GASTOS JUDICIALES,"60.000,00","3.909,00","35.704,00","24.296,00","0,00",2017,7
3.01.00.02.00.09.000,RETENCIONES VARIAS,"100.000,00","0,00","0,00","100.000,00","0,00",2017,7
codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más,anio,mes
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"138744.000,00","9084.882,18","20925.296,30","117818.703,70","0,00",2017,2
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75090.000,00","6054.217,69","9947.145,74","65142.854,26","0,00",2017,2
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"62440.000,00","5909.274,58","9190.472,81","53249.527,19","0,00",2017,2
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","2699.501,78","3211.920,50","26788.079,50","0,00",2017,2
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","296.906,63","353.611,63","1646.388,37","0,00",2017,2
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","76.297,00","195.710,00","2004.290,00","0,00",2017,2
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","62.717,00","170.930,00","1829.070,00","0,00",2017,2
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","13.580,00","24.780,00","175.220,00","0,00",2017,2
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","0,00","616.100,70","3383.899,30","0,00",2017,2
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"700.000,00","29.548,37","56.237,37","643.762,63","0,00",2017,2
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","16.228,37","27.647,37","172.352,63","0,00",2017,2
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","13.320,00","28.590,00","471.410,00","0,00",2017,2
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"0,00","0,00","0,00","0,00","0,00",2017,2
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","46.230,00","106.590,00","793.410,00","0,00",2017,2
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","3.579,91","5.155,59","44.844,41","0,00",2017,2
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","939.352,32","2556.920,53","12863.079,47","0,00",2017,2
1.01.00.01.00.18.001,comercio e industria,"400.000,00","38.168,68","172.182,60","227.817,40","0,00",2017,2
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","553.169,19","1339.419,85","8660.580,15","0,00",2017,2
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","348.014,45","1045.318,08","3954.681,92","0,00",2017,2
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00",2017,2
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","1817.858,57","2088.226,49","4911.773,51","0,00",2017,2
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","0,00","0,00","150.000,00","0,00",2017,2
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","144.943,11","756.672,93","11893.327,07","0,00",2017,2
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","84.170,86","170.691,36","1059.308,64","0,00",2017,2
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00",2017,2
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","75.600,00","145.600,00","854.400,00","0,00",2017,2
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","8.570,86","25.091,36","74.908,64","0,00",2017,2
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00",2017,2
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","26.963,00","343.046,00","1056.954,00","0,00",2017,2
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","0,00","297.080,00","702.920,00","0,00",2017,2
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","26.963,00","45.966,00","154.034,00","0,00",2017,2
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","0,00","0,00","200.000,00","0,00",2017,2
1.01.00.02.00.04.000,OFICINA ADMINISTRATIVA DE FALTAS,"620.000,00","33.809,25","50.069,25","569.930,75","0,00",2017,2
1.01.00.02.00.04.001,MULTAS SOBRE COMERCIO E INDUSTRIA,"20.000,00","0,00","0,00","20.000,00","0,00",2017,2
1.01.00.02.00.04.002,MULTAS DE OBRAS PRIVADAS,"100.000,00","0,00","0,00","100.000,00","0,00",2017,2
1.01.00.02.00.04.003,MULTAS DE TRANSITO,"100.000,00","0,00","0,00","100.000,00","0,00",2017,2
1.01.00.02.00.04.004,OTRAS MULTAS,"400.000,00","33.809,25","50.069,25","349.930,75","0,00",2017,2
1.01.00.02.00.05.000,CONTRIBUCION POR MEJORAS,"9200.000,00","0,00","2.362,00","9197.638,00","0,00",2017,2
1.01.00.02.00.05.001,CORDON CUNETA,"1000.000,00","0,00","0,00","1000.000,00","0,00",2017,2
1.01.00.02.00.05.002,OBRA GAS NATURAL,"7000.000,00","0,00","0,00","7000.000,00","0,00",2017,2
1.01.00.02.00.05.004,OBRA ALUMBRADO PUBLICO,"1200.000,00","0,00","2.362,00","1197.638,00","0,00",2017,2
1.01.00.02.00.06.000,"SUBENCIONES, DONACIONES Y LEGADOS","60.000,00","0,00","0,00","60.000,00","0,00",2017,2
1.01.00.02.00.06.001,DONACIONES POR PUBLICIDAD,"20.000,00","0,00","0,00","20.000,00","0,00",2017,2
1.01.00.02.00.06.002,OTRAS DONACIONES Y LEGADOS,"40.000,00","0,00","0,00","40.000,00","0,00",2017,2
1.01.00.02.00.07.000,EVENTUALES E IMPREVISTOS,"100.000,00","0,00","190.504,32","0,00","90.504,32",2017,2
1.01.00.02.00.08.000,INGRESO MUSEO A CIELO ABIERTO,"40.000,00","0,00","0,00","40.000,00","0,00",2017,2
1.02.00.00.00.00.000,DE OTRAS JURIDICCIONES,"63654.000,00","3030.664,49","10978.150,56","52675.849,44","0,00",2017,2
1.02.00.01.00.00.000,PARTICIPACION EN IMPUESTOS PCIALESY NAC.,"51954.000,00","3027.441,49","6669.927,56","45284.072,44","0,00",2017,2
1.02.00.01.00.02.000,COPARTICIP.IMPOSITIVA ANO ACTUAL,"40000.000,00","2374.237,09","3610.948,43","36389.051,57","0,00",2017,2
1.02.00.01.00.03.000,COPARTICIPACION IMPOSITIVA EJERC. ANTER.,"2000.000,00","0,00","1906.000,87","93.999,13","0,00",2017,2
1.02.00.01.00.04.000,INGRESOS FO.FIN.DES PROVINCIAL,"6000.000,00","432.562,36","698.490,82","5301.509,18","0,00",2017,2
1.02.00.01.00.04.001,CONVENIO SALUD,"6000.000,00","432.562,36","698.490,82","5301.509,18","0,00",2017,2
1.02.00.01.00.05.000,FONDO DESCENTRALIZACION ANOS ANTERIORES,"250.000,00","0,00","0,00","250.000,00","0,00",2017,2
1.02.00.01.00.06.000,FONDO FEDERAL SOLIDARIO,"2000.000,00","135.340,11","219.615,16","1780.384,84","0,00",2017,2
1.02.00.01.00.07.000,Fondo Mant (FODEEMEP),"250.000,00","0,00","36.658,54","213.341,46","0,00",2017,2
1.02.00.01.00.08.000,Obra Agua Valle del Sol,"0,00","0,00","0,00","0,00","0,00",2017,2
1.02.00.01.00.09.000,Ingresos FASAMU,"1400.000,00","85.301,93","198.213,74","1201.786,26","0,00",2017,2
1.02.00.01.00.10.000,FOMMEP,"54.000,00","0,00","0,00","54.000,00","0,00",2017,2
1.02.00.02.00.00.000,APORTES NO REINTEGRABLES,"7000.000,00","0,00","2655.000,00","4345.000,00","0,00",2017,2
1.02.00.02.00.02.000,SUBVENCIONES Y SUBSIDIOS PCIALES. Y NAC.,"3000.000,00","0,00","655.000,00","2345.000,00","0,00",2017,2
1.02.00.02.00.03.000,tranferencia fondo guarderia municipal,"0,00","0,00","0,00","0,00","0,00",2017,2
1.02.00.02.00.04.000,Catastrofe Climatologica,"4000.000,00","0,00","2000.000,00","2000.000,00","0,00",2017,2
1.02.00.03.00.00.000,OTROS INGRESOS DE OTRAS JURIDICCION,"4700.000,00","3.223,00","1653.223,00","3046.777,00","0,00",2017,2
1.02.00.03.00.05.000,OBRAS CONVENIOOS - GOBIERNO DE PCIA,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,2
1.02.00.03.00.06.000,OBRAS CONVENIOS- GOBIERNO DE LA NACION,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,2
1.02.00.03.00.07.000,PLAN VIVIENDA FEDERAL II HOGAR CLASE MEDIA,"0,00","0,00","0,00","0,00","0,00",2017,2
1.02.00.03.00.08.000,INGRESOS PLAN SUMAR,"50.000,00","3.223,00","3.223,00","46.777,00","0,00",2017,2
1.02.00.03.00.09.000,F.D.URBANO C.C. V DEL SOL,"1650.000,00","0,00","1650.000,00","0,00","0,00",2017,2
1.02.00.03.00.10.000,Fondo desarrollo urbano 2017,"0,00","0,00","0,00","0,00","0,00",2017,2
2.00.00.00.00.00.000,INGRESOS DE CAPITAL,"5245.000,00","147.150,00","359.400,00","4885.600,00","0,00",2017,2
2.01.00.00.00.00.000,USO DEL CREDITO,"1045.000,00","0,00","0,00","1045.000,00","0,00",2017,2
2.01.00.01.00.00.000,DE INSTITUCIONES BANCARIAS,"1045.000,00","0,00","0,00","1045.000,00","0,00",2017,2
2.01.00.01.00.01.000,BCO. bancor,"20.000,00","0,00","0,00","20.000,00","0,00",2017,2
2.01.00.01.00.02.000,Bco Macro,"10.000,00","0,00","0,00","10.000,00","0,00",2017,2
2.01.00.01.00.03.000,bco Nacion Argentina,"5.000,00","0,00","0,00","5.000,00","0,00",2017,2
2.01.00.01.00.04.000,bco roelaondo Permanente,"5.000,00","0,00","0,00","5.000,00","0,00",2017,2
2.01.00.01.00.05.000,otros bancos,"5.000,00","0,00","0,00","5.000,00","0,00",2017,2
2.01.00.01.00.06.000,credito fondo permante,"1000.000,00","0,00","0,00","1000.000,00","0,00",2017,2
2.03.00.00.00.00.000,VENTA DE BIENES PATRIMONIALES,"3700.000,00","147.150,00","359.400,00","3340.600,00","0,00",2017,2
2.03.00.01.00.00.000,BIENES MUEBLES,"3550.000,00","147.150,00","359.400,00","3190.600,00","0,00",2017,2
2.03.00.01.00.04.000,"VTA.CHAPAS PATENTES,SUPLEM., CARNETS, ETC.","3000.000,00","147.150,00","359.400,00","2640.600,00","0,00",2017,2
2.03.00.01.00.05.000,VENTAS DE MAQUINARIAS EQUIPOS Y SIMILARES,"500.000,00","0,00","0,00","500.000,00","0,00",2017,2
2.03.00.01.00.06.000,OTRAS VENTAS,"50.000,00","0,00","0,00","50.000,00","0,00",2017,2
2.03.00.02.00.00.000,BIENES INMUEBLES,"150.000,00","0,00","0,00","150.000,00","0,00",2017,2
2.03.00.02.00.04.000,Venta de Terrenos Municipales,"150.000,00","0,00","0,00","150.000,00","0,00",2017,2
2.04.00.00.00.00.000,OTROS INGRESOS DE CAPITAL,"500.000,00","0,00","0,00","500.000,00","0,00",2017,2
2.04.00.02.00.00.000,EXCEDENTES LIQUIDOS EJERCICIOS ANTERIORES,"500.000,00","0,00","0,00","500.000,00","0,00",2017,2
2.04.00.02.00.01.000,SALDO EJERCICIO ANTERIOR (CAJA MAS BANCO,"500.000,00","0,00","0,00","500.000,00","0,00",2017,2
3.00.00.00.00.00.000,NO CLASIFICADOS,"9480.000,00","3.295,00","8.240,00","9471.760,00","0,00",2017,2
3.01.00.00.00.00.000,CUENTAS DE ORDEN,"9480.000,00","3.295,00","8.240,00","9471.760,00","0,00",2017,2
3.01.00.01.00.00.000,POR TRABAOS PUBLICOS,"100.000,00","0,00","0,00","100.000,00","0,00",2017,2
3.01.00.01.00.01.000,FONDO POR REPARO,"50.000,00","0,00","0,00","50.000,00","0,00",2017,2
3.01.00.01.00.02.000,GARANTIA DE LICITACIONES,"50.000,00","0,00","0,00","50.000,00","0,00",2017,2
3.01.00.02.00.00.000,OTRAS CAUSAS,"9380.000,00","3.295,00","8.240,00","9371.760,00","0,00",2017,2
3.01.00.02.00.01.000,RETENCION  18%  APORTE PERSONAL,"6000.000,00","0,00","0,00","6000.000,00","0,00",2017,2
3.01.00.02.00.02.000,RETENCION DE apross,"1500.000,00","0,00","0,00","1500.000,00","0,00",2017,2
3.01.00.02.00.03.000,RETENCION SEGURO DE VIDA,"100.000,00","0,00","0,00","100.000,00","0,00",2017,2
