codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","68.391,03","155.084,01","0,00","55.084,01"
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","341.506,00","756.385,00","643.615,00","0,00"
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","319.285,00","616.365,00","383.635,00","0,00"
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","22.221,00","105.820,00","94.180,00","0,00"
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","0,00","34.200,00","165.800,00","0,00"
1.01.00.02.00.04.000,OFICINA ADMINISTRATIVA DE FALTAS,"620.000,00","148.634,00","235.028,25","384.971,75","0,00"
1.01.00.02.00.04.001,MULTAS SOBRE COMERCIO E INDUSTRIA,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.04.002,MULTAS DE OBRAS PRIVADAS,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.003,MULTAS DE TRANSITO,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.004,OTRAS MULTAS,"400.000,00","148.634,00","235.028,25","164.971,75","0,00"
1.01.00.02.00.05.000,CONTRIBUCION POR MEJORAS,"9200.000,00","1.440,00","16.762,00","9183.238,00","0,00"
1.01.00.02.00.05.001,CORDON CUNETA,"1000.000,00","0,00","0,00","1000.000,00","0,00"
1.01.00.02.00.05.002,OBRA GAS NATURAL,"7000.000,00","0,00","0,00","7000.000,00","0,00"
1.01.00.02.00.05.004,OBRA ALUMBRADO PUBLICO,"1200.000,00","1.440,00","16.762,00","1183.238,00","0,00"
1.01.00.02.00.06.000,"SUBENCIONES, DONACIONES Y LEGADOS","60.000,00","0,00","0,00","60.000,00","0,00"
1.01.00.02.00.06.001,DONACIONES POR PUBLICIDAD,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.06.002,OTRAS DONACIONES Y LEGADOS,"40.000,00","0,00","0,00","40.000,00","0,00"
1.01.00.02.00.07.000,EVENTUALES E IMPREVISTOS,"100.000,00","9.326,57","231.684,16","0,00","131.684,16"
1.01.00.02.00.08.000,INGRESO MUSEO A CIELO ABIERTO,"40.000,00","0,00","0,00","40.000,00","0,00"
1.02.00.00.00.00.000,DE OTRAS JURIDICCIONES,"63654.000,00","4802.152,60","22997.543,51","40656.456,49","0,00"
1.02.00.01.00.00.000,PARTICIPACION EN IMPUESTOS PCIALESY NAC.,"51954.000,00","4611.532,60","18494.243,51","33459.756,49","0,00"
1.02.00.01.00.02.000,COPARTICIP.IMPOSITIVA ANO ACTUAL,"40000.000,00","3766.325,41","13172.466,61","26827.533,39","0,00"
1.02.00.01.00.03.000,COPARTICIPACION IMPOSITIVA EJERC. ANTER.,"2000.000,00","0,00","1906.000,87","93.999,13","0,00"
1.02.00.01.00.04.000,INGRESOS FO.FIN.DES PROVINCIAL,"6000.000,00","427.082,45","1960.263,75","4039.736,25","0,00"
1.02.00.01.00.04.001,CONVENIO SALUD,"6000.000,00","427.082,45","1960.263,75","4039.736,25","0,00"
1.02.00.01.00.05.000,FONDO DESCENTRALIZACION ANOS ANTERIORES,"250.000,00","0,00","0,00","250.000,00","0,00"
1.02.00.01.00.06.000,FONDO FEDERAL SOLIDARIO,"2000.000,00","255.124,82","722.062,84","1277.937,16","0,00"
1.02.00.01.00.07.000,Fondo Mant (FODEEMEP),"250.000,00","27.682,84","64.341,38","185.658,62","0,00"
1.02.00.01.00.08.000,Obra Agua Valle del Sol,"0,00","0,00","0,00","0,00","0,00"
1.02.00.01.00.09.000,Ingresos FASAMU,"1400.000,00","135.317,08","613.742,08","786.257,92","0,00"
1.02.00.01.00.10.000,FOMMEP,"54.000,00","0,00","55.365,98","0,00","1.365,98"
1.02.00.02.00.00.000,APORTES NO REINTEGRABLES,"7000.000,00","185.000,00","2840.000,00","4160.000,00","0,00"
1.02.00.02.00.02.000,SUBVENCIONES Y SUBSIDIOS PCIALES. Y NAC.,"3000.000,00","150.000,00","805.000,00","2195.000,00","0,00"
1.02.00.02.00.03.000,tranferencia fondo guarderia municipal,"0,00","0,00","0,00","0,00","0,00"
1.02.00.02.00.04.000,Catastrofe Climatologica,"4000.000,00","35.000,00","2035.000,00","1965.000,00","0,00"
1.02.00.03.00.00.000,OTROS INGRESOS DE OTRAS JURIDICCION,"4700.000,00","5.620,00","1663.300,00","3036.700,00","0,00"
1.02.00.03.00.05.000,OBRAS CONVENIOOS - GOBIERNO DE PCIA,"1500.000,00","0,00","0,00","1500.000,00","0,00"
1.02.00.03.00.06.000,OBRAS CONVENIOS- GOBIERNO DE LA NACION,"1500.000,00","0,00","0,00","1500.000,00","0,00"
1.02.00.03.00.07.000,PLAN VIVIENDA FEDERAL II HOGAR CLASE MEDIA,"0,00","0,00","0,00","0,00","0,00"
1.02.00.03.00.08.000,INGRESOS PLAN SUMAR,"50.000,00","5.620,00","13.300,00","36.700,00","0,00"
1.02.00.03.00.09.000,F.D.URBANO C.C. V DEL SOL,"1650.000,00","0,00","1650.000,00","0,00","0,00"
1.02.00.03.00.10.000,Fondo desarrollo urbano 2017,"0,00","0,00","0,00","0,00","0,00"
2.00.00.00.00.00.000,INGRESOS DE CAPITAL,"5245.000,00","2330.208,00","3068.958,00","2176.042,00","0,00"
2.01.00.00.00.00.000,USO DEL CREDITO,"1045.000,00","2049.808,00","2049.808,00","0,00","1004.808,00"
2.01.00.01.00.00.000,DE INSTITUCIONES BANCARIAS,"1045.000,00","2049.808,00","2049.808,00","0,00","1004.808,00"
2.01.00.01.00.01.000,BCO. bancor,"20.000,00","2049.808,00","2049.808,00","0,00","2029.808,00"
2.01.00.01.00.02.000,Bco Macro,"10.000,00","0,00","0,00","10.000,00","0,00"
2.01.00.01.00.03.000,bco Nacion Argentina,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.04.000,bco roelaondo Permanente,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.05.000,otros bancos,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.06.000,credito fondo permante,"1000.000,00","0,00","0,00","1000.000,00","0,00"
2.03.00.00.00.00.000,VENTA DE BIENES PATRIMONIALES,"3700.000,00","280.400,00","1019.150,00","2680.850,00","0,00"
2.03.00.01.00.00.000,BIENES MUEBLES,"3550.000,00","280.400,00","1019.150,00","2530.850,00","0,00"
2.03.00.01.00.04.000,"VTA.CHAPAS PATENTES,SUPLEM., CARNETS, ETC.","3000.000,00","183.400,00","922.150,00","2077.850,00","0,00"
2.03.00.01.00.05.000,VENTAS DE MAQUINARIAS EQUIPOS Y SIMILARES,"500.000,00","0,00","0,00","500.000,00","0,00"
2.03.00.01.00.06.000,OTRAS VENTAS,"50.000,00","97.000,00","97.000,00","0,00","47.000,00"
2.03.00.02.00.00.000,BIENES INMUEBLES,"150.000,00","0,00","0,00","150.000,00","0,00"
2.03.00.02.00.04.000,Venta de Terrenos Municipales,"150.000,00","0,00","0,00","150.000,00","0,00"
2.04.00.00.00.00.000,OTROS INGRESOS DE CAPITAL,"500.000,00","0,00","0,00","500.000,00","0,00"
2.04.00.02.00.00.000,EXCEDENTES LIQUIDOS EJERCICIOS ANTERIORES,"500.000,00","0,00","0,00","500.000,00","0,00"
2.04.00.02.00.01.000,SALDO EJERCICIO ANTERIOR (CAJA MAS BANCO,"500.000,00","0,00","0,00","500.000,00","0,00"
3.00.00.00.00.00.000,NO CLASIFICADOS,"9480.000,00","1.760,00","23.123,00","9456.877,00","0,00"
3.01.00.00.00.00.000,CUENTAS DE ORDEN,"9480.000,00","1.760,00","23.123,00","9456.877,00","0,00"
3.01.00.01.00.00.000,POR TRABAOS PUBLICOS,"100.000,00","0,00","0,00","100.000,00","0,00"
3.01.00.01.00.01.000,FONDO POR REPARO,"50.000,00","0,00","0,00","50.000,00","0,00"
3.01.00.01.00.02.000,GARANTIA DE LICITACIONES,"50.000,00","0,00","0,00","50.000,00","0,00"
3.01.00.02.00.00.000,OTRAS CAUSAS,"9380.000,00","1.760,00","23.123,00","9356.877,00","0,00"
3.01.00.02.00.01.000,RETENCION  18%  APORTE PERSONAL,"6000.000,00","0,00","0,00","6000.000,00","0,00"
3.01.00.02.00.02.000,RETENCION DE apross,"1500.000,00","0,00","0,00","1500.000,00","0,00"
3.01.00.02.00.03.000,RETENCION SEGURO DE VIDA,"100.000,00","0,00","0,00","100.000,00","0,00"
3.01.00.02.00.04.000,APORTE SINDICALES,"800.000,00","0,00","0,00","800.000,00","0,00"
3.01.00.02.00.05.000,RETENCIONES TELEFONIA CELULAR,"500.000,00","0,00","0,00","500.000,00","0,00"
3.01.00.02.00.06.000,RETENCION PRESTAMOS PERSONALES,"200.000,00","0,00","0,00","200.000,00","0,00"
3.01.00.02.00.07.000,RETENCION SEGUROS PARTICULARES PERSONAL,"120.000,00","0,00","0,00","120.000,00","0,00"
3.01.00.02.00.08.000,RETENCION GASTOS JUDICIALES,"60.000,00","1.760,00","23.123,00","36.877,00","0,00"
3.01.00.02.00.09.000,RETENCIONES VARIAS,"100.000,00","0,00","0,00","100.000,00","0,00"
