codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.01.01.02.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00"
1.01.01.02.03.01.000,AGUINALDO PERSONAL NO PERMANENTE,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00"
1.01.01.02.04.00.000,APORTE PATRONAL JUBILATORIO,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00"
1.01.01.02.04.01.000,APORTE 20% PERSONAL NO PERMANENTE,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00"
1.01.01.02.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"70.000,00","0,00","3.059,00","66.941,00","0,00","3.059,00","0,00"
1.01.01.02.05.01.000,FONDO ASISTENCIAL(A.PRO.S.S.),"60.000,00","0,00","0,00","60.000,00","0,00","0,00","0,00"
1.01.01.02.05.02.000,SEGUROS AL PERSONAL,"10.000,00","0,00","3.059,00","6.941,00","0,00","3.059,00","0,00"
1.01.01.02.06.00.000,DEUDAS PERSONAL TEMPORARIO,"200.000,00","0,00","174.372,33","25.627,67","0,00","174.372,33","0,00"
1.01.01.02.06.01.000,DEUDAS VARIAS,"200.000,00","0,00","174.372,33","25.627,67","0,00","174.372,33","0,00"
1.01.01.03.00.00.000,SALARIO FAMILIAR,"1000.000,00","199.053,00","199.053,00","800.947,00","99.613,00","99.613,00","99.440,00"
1.01.01.04.00.00.000,SERVICIOS EXTRAORDINARIOS,"400.000,00","107.129,67","107.129,67","292.870,33","46.469,49","46.469,49","60.660,18"
1.01.01.05.00.00.000,ASISTENCIA SOCIAL AL PERSONAL,"30.000,00","9.479,36","14.451,15","15.548,85","2.385,36","7.057,15","7.394,00"
1.01.01.06.00.00.000,CREDITO ADICIONAL P/INCREMENTOS SALARIALES,"4100.000,00","0,00","0,00","4100.000,00","0,00","0,00","0,00"
1.01.01.07.00.00.000,Credito Adicional para escalafonamiento,"957.413,00","0,00","0,00","957.413,00","0,00","0,00","0,00"
1.01.02.00.00.00.000,BIENES DE CONSUMO,"7101.000,00","785.299,75","1539.198,13","5561.801,87","557.297,74","871.535,28","667.662,85"
1.01.02.01.01.00.000,PALA CARGADORA MUNICIPAL,"50.000,00","12.820,02","13.018,02","36.981,98","4.819,00","5.017,00","8.001,02"
1.01.02.01.02.00.000,MOTONIVELADORA MUNICIPAL,"100.000,00","60.298,33","60.848,33","39.151,67","7.390,00","7.940,00","52.908,33"
1.01.02.01.03.00.000,CAMION FORD 14000,"70.000,00","12.405,06","12.405,06","57.594,94","245,00","245,00","12.160,06"
1.01.02.01.04.00.000,FORD RANGER,"40.000,00","5.589,99","5.589,99","34.410,01","0,00","0,00","5.589,99"
1.01.02.01.05.00.000,FIAT FIORINO (gobierno),"40.000,00","1.700,02","3.300,04","36.699,96","1.900,04","2.200,06","1.099,98"
1.01.02.01.06.00.000,RENAULT EXPRESS (compras),"30.000,00","1.945,02","1.945,02","28.054,98","0,00","0,00","1.945,02"
1.01.02.01.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"25.000,00","14.474,91","14.474,91","10.525,09","0,00","0,00","14.474,91"
1.01.02.01.08.00.000,CAMION COMPACTADOR (RECOL. DE RESIDUOS),"100.000,00","50.231,28","52.886,28","47.113,72","0,00","2.655,00","50.231,28"
1.01.02.01.09.00.000,Tractor Hanomag,"20.000,00","6.343,02","6.343,02","13.656,98","0,00","0,00","6.343,02"
1.01.02.01.10.00.000,FORD F 100 HIDROELEVADOR (ALUMBRADO),"60.000,00","8.099,83","13.899,76","46.100,24","5.899,83","10.799,81","3.099,95"
1.01.02.01.11.00.000,RENAULT MASTER,"80.000,00","6.400,02","6.400,02","73.599,98","0,00","0,00","6.400,02"
1.01.02.01.12.00.000,CAMION SCANIA (AGUA),"80.000,00","28.375,12","28.375,12","51.624,88","0,00","0,00","28.375,12"
1.01.02.01.13.00.000,Renault Kangoo (espacios verdes),"30.000,00","4.785,35","6.185,70","23.814,30","1.700,42","2.300,56","3.885,14"
1.01.02.01.14.00.000,Renault Kangoo (medio ambiente),"20.000,00","1.049,93","1.849,87","18.150,13","0,00","799,94","1.049,93"
1.01.02.01.15.00.000,Ford F 100 (servicios publicos),"20.000,00","10.340,03","10.640,03","9.359,97","300,00","300,00","10.340,03"
1.01.02.01.16.00.000,otros vehiculos,"90.000,00","39.682,72","50.562,51","39.437,49","11.086,03","17.366,12","33.196,39"
1.01.02.02.01.00.000,PALA CARGADORA MUNICIPAL,"50.000,00","1.250,50","3.685,50","46.314,50","3.490,00","3.490,00","195,50"
1.01.02.02.02.00.000,MOTONIVELADORA MUNICIPAL (2),"70.000,00","0,00","4.372,00","65.628,00","4.192,00","4.372,00","0,00"
1.01.02.02.03.00.000,CAMION FORD 14000,"50.000,00","0,00","6.425,00","43.575,00","0,00","6.425,00","0,00"
1.01.02.02.04.00.000,FORD RANGER,"80.000,00","0,00","940,00","79.060,00","0,00","940,00","0,00"
1.01.02.02.05.00.000,FIAT FIORINO (gobierno),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.02.06.00.000,RENAULT EXPRESS (compras),"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00"
1.01.02.02.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"30.000,00","545,00","3.901,50","26.098,50","2.835,00","3.491,50","410,00"
1.01.02.02.08.00.000,CAMION COMPACTADOR (RECOL. RESIDUOS),"80.000,00","0,00","1.140,02","78.859,98","0,00","1.140,02","0,00"
1.01.02.02.09.00.000,tractor Hanomag,"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00"
1.01.02.02.10.00.000,FORD F 100 HIDROELEVADOR (ALUMBRADO),"30.000,00","1.900,00","2.180,00","27.820,00","1.900,00","2.180,00","0,00"
1.01.02.02.11.00.000,RENAULT MASTER,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.02.12.00.000,CAMION SCANIA (agua),"20.000,00","3.351,50","16.639,50","3.360,50","209,50","13.359,50","3.280,00"
1.01.02.02.13.00.000,renault kango (espacios verdes),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.02.14.00.000,Renault kango (mendioa ambiente),"20.000,00","3.860,00","3.860,00","16.140,00","3.860,00","3.860,00","0,00"
1.01.02.02.15.00.000,Ford F 100 (servicios publicos),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.02.16.00.000,Adq Repuestos Mar Espacis Verdes,"30.000,00","0,00","25.376,29","4.623,71","0,00","25.376,29","0,00"
1.01.02.02.17.00.000,otros vehiculos,"10.000,00","440,00","440,00","9.560,00","0,00","0,00","440,00"
1.01.02.03.01.00.000,ADMINISTRACION MUNICIPAL,"80.000,00","3.864,96","55.216,43","24.783,57","50.275,09","52.021,13","3.195,30"
1.01.02.03.02.00.000,OFICINA DE FALTAS,"7.000,00","906,50","2.229,70","4.770,30","614,00","1.937,20","292,50"
1.01.02.03.03.00.000,HOGAR DE DIA,"3.000,00","0,00","0,00","3.000,00","0,00","0,00","0,00"
1.01.02.03.04.00.000,GUARDERIA,"5.000,00","239,00","1.860,00","3.140,00","1.860,00","1.860,00","0,00"
1.01.02.03.06.00.000,SALON CULTURAL,"5.000,00","0,00","160,00","4.840,00","160,00","160,00","0,00"
1.01.02.03.07.00.000,OTRAS OFICINAS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.04.01.00.000,ADMINISTRACION MUNICIPAL,"65.000,00","9.026,08","14.954,86","50.045,14","5.473,08","10.701,86","4.253,00"
1.01.02.04.02.00.000,OFICINA DE FALTAS,"5.000,00","1.165,50","2.084,50","2.915,50","854,00","1.573,00","511,50"
1.01.02.04.03.00.000,HOGAR DE DIA,"8.000,00","1.440,00","2.858,00","5.142,00","480,00","1.898,00","960,00"
1.01.02.04.04.00.000,GUARDERIA,"8.000,00","1.014,99","2.829,99","5.170,01","429,99","1.869,99","960,00"
1.01.02.04.06.00.000,SALON CULTURAL,"10.000,00","2.299,00","4.025,00","5.975,00","2.386,00","2.686,00","1.339,00"
1.01.02.04.07.00.000,OTRAS OFICINAS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.05.00.00.000,MATERIALES PARA CONSERVACION,"70.000,00","7.145,37","15.831,83","54.168,17","6.466,83","13.922,08","1.909,75"
1.01.02.06.01.00.000,PALA CARGADORA MUNICIPAL,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.02.00.000,MOTONIVELADORA MUNICIPAL (2),"130.000,00","63.600,00","66.350,00","63.650,00","65.950,00","65.950,00","400,00"
1.01.02.06.03.00.000,CAMION FORD 14000,"40.000,00","6.200,00","6.200,00","33.800,00","0,00","0,00","6.200,00"
1.01.02.06.04.00.000,FORD RANGER,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.06.05.00.000,FIAT FIORINO (gobierno),"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.06.06.00.000,RENAULT EXPRESS Y KANGOO (ESPACIOS VERDES),"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.06.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"7.000,00","2.900,00","2.900,00","4.100,00","0,00","0,00","2.900,00"
1.01.02.06.08.00.000,CAMION COMPACTADOR (RECOLEC. RESIDUOS),"70.000,00","0,00","0,00","70.000,00","0,00","0,00","0,00"
1.01.02.06.09.00.000,tractor Hanomg,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00"
1.01.02.06.10.00.000,FORDS F 100 HIDROELEVADOR (ALUMBRADO),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.11.00.000,Renault MasterS,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.12.00.000,CAMION SCANIA (AGUA),"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00"
1.01.02.06.13.00.000,Renaul Kango (espacios verdes),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.14.00.000,Reanult Kango (medio ambiente),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.15.00.000,Ford F 100 (SERVICIOS PUBLICOS),"10.000,00","450,00","450,00","9.550,00","0,00","0,00","450,00"
1.01.02.06.16.00.000,Cub Vehiculos espacios verdes,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.06.17.00.000,otros vehiculos,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00"
1.01.02.07.00.00.000,ADQUISICION DE MATERIALES DE CONSTRUCCION,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.08.00.00.000,ADQUIS. DE MAT. Y PROD. FARMACEUTICOS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.09.00.00.000,RACIMIENTO Y ALIMENTOS,"50.000,00","5.258,00","8.933,00","41.067,00","2.665,00","4.625,00","4.308,00"
1.01.02.10.01.00.000,DIARIOS Y REVISTAS DEL MUNICIPIO,"20.000,00","8.162,00","8.162,00","11.838,00","5.635,00","5.635,00","2.527,00"
1.01.02.10.02.00.000,PRODUCTOS DE FORRAJERIA,"3.000,00","450,00","910,00","2.090,00","450,00","910,00","0,00"
1.01.02.10.03.00.000,"INSUMOS DE MAQUINARIAS (PILAS, TANZAS, ETC)","30.000,00","7.338,06","7.338,06","22.661,94","0,00","0,00","7.338,06"
1.01.02.10.04.00.000,BIDONES DE AGUA,"10.000,00","1.075,00","3.555,00","6.445,00","1.115,00","2.480,00","1.075,00"
1.01.02.10.05.00.000,OTROS DE CONSUMO,"25.000,00","0,00","3.840,00","21.160,00","0,00","3.840,00","0,00"
1.01.02.11.00.00.000,DEUDAS DE BIENES DE CONSUMO EJERC. ANTERIOR.,"800.000,00","265.221,37","784.689,50","15.310,50","266.036,41","462.087,10","322.602,40"
1.01.02.12.00.00.000,CREDITO ADICIONAL P/REFUERZO DE PARTIDA,"2410.000,00","0,00","0,00","2410.000,00","0,00","0,00","0,00"
1.01.02.15.01.00.000,PERSONAL DE MAESTRANZA,"350.000,00","2.491,56","7.264,26","342.735,74","4.467,70","4.772,70","2.491,56"
1.01.02.15.02.00.000,AUXILIAR DE LIMPIEZA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.03.00.000,PERSONAL DE GUARDERIA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.04.00.000,PERSONAL HOGAR DE DIA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.06.00.000,PERSONAL DE SEGURIDAD CIUDADANA,"130.000,00","0,00","6.745,60","123.254,40","6.745,60","6.745,60","0,00"
1.01.02.15.07.00.000,PERSONAL DEFENSA CIVIL,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.15.08.00.000,Personal Espacios Verdes,"15.000,00","0,00","4.633,13","10.366,87","3.987,25","3.987,25","645,88"
1.01.02.15.09.00.000,PERSONAL ADMINISTRACION MUNICIPAL,"70.000,00","0,00","0,00","70.000,00","0,00","0,00","0,00"
1.01.02.17.01.00.000,COMBUSTIBLES Y LUBRICANTES,"270.000,00","32.416,52","61.998,57","208.001,43","27.054,19","46.696,91","15.301,66"
1.01.02.17.02.00.000,ADQUISICION DE REPUESTOS,"40.000,00","19.531,45","19.531,45","20.468,55","13.295,00","13.295,00","6.236,45"
1.01.02.17.03.00.000,CAMARAS Y CUBIERTAS,"35.000,00","0,00","120,00","34.880,00","120,00","120,00","0,00"
1.01.02.17.04.00.000,ELEMENTOS DE CAFETERIA Y LIMPIEZA,"45.000,00","2.760,50","7.538,12","37.461,88","2.997,12","6.175,62","1.362,50"
1.01.02.17.05.00.000,"UTILES, IMPRESOS, DIGITALIZACIONES Y PAPELERI","45.000,00","0,00","4.033,12","40.966,88","0,00","0,00","4.033,12"
1.01.02.17.06.00.000,INSUMOS DE SEGURIDAD VIAL,"40.000,00","1.058,75","1.328,75","38.671,25","235,00","270,00","1.058,75"
1.01.02.17.07.00.000,VARIOS DE SEGURIDAD CIUDADANA,"30.000,00","2.620,00","5.613,38","24.386,62","1.618,00","4.236,38","1.377,00"
1.01.02.18.01.00.000,ALIMENTOS,"145.000,00","932,00","5.708,90","139.291,10","100,00","300,00","5.408,90"
1.01.02.19.01.00.000,ALIMENTOS,"280.000,00","54.858,40","56.213,40","223.786,60","33.454,80","33.554,80","22.658,60"
1.01.02.20.00.00.000,CONSUMO AREA DE AMBIENTE,"30.000,00","4.987,09","5.408,09","24.591,91","2.545,86","2.966,86","2.441,23"
1.01.02.21.01.00.000,Combustible defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.02.00.000,Respuestos Defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.03.00.000,Insumos Defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.04.00.000,Adq cubiertas y camaras defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.05.00.000,varios defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.03.00.00.00.000,SERVICIOS,"20166.000,00","2777.291,54","5723.561,94","14442.438,06","1003.104,34","2465.249,51","3258.312,43"
1.01.03.01.01.00.000,EDIFICIO MUNICIPAL,"43.000,00","0,00","0,00","43.000,00","0,00","0,00","0,00"
