codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","75.600,00","145.600,00","854.400,00","0,00"
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","8.570,86","25.091,36","74.908,64","0,00"
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","26.963,00","343.046,00","1056.954,00","0,00"
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","0,00","297.080,00","702.920,00","0,00"
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","26.963,00","45.966,00","154.034,00","0,00"
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","0,00","0,00","200.000,00","0,00"
1.01.00.02.00.04.000,OFICINA ADMINISTRATIVA DE FALTAS,"620.000,00","33.809,25","50.069,25","569.930,75","0,00"
1.01.00.02.00.04.001,MULTAS SOBRE COMERCIO E INDUSTRIA,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.04.002,MULTAS DE OBRAS PRIVADAS,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.003,MULTAS DE TRANSITO,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.004,OTRAS MULTAS,"400.000,00","33.809,25","50.069,25","349.930,75","0,00"
1.01.00.02.00.05.000,CONTRIBUCION POR MEJORAS,"9200.000,00","0,00","2.362,00","9197.638,00","0,00"
1.01.00.02.00.05.001,CORDON CUNETA,"1000.000,00","0,00","0,00","1000.000,00","0,00"
1.01.00.02.00.05.002,OBRA GAS NATURAL,"7000.000,00","0,00","0,00","7000.000,00","0,00"
1.01.00.02.00.05.004,OBRA ALUMBRADO PUBLICO,"1200.000,00","0,00","2.362,00","1197.638,00","0,00"
1.01.00.02.00.06.000,"SUBENCIONES, DONACIONES Y LEGADOS","60.000,00","0,00","0,00","60.000,00","0,00"
1.01.00.02.00.06.001,DONACIONES POR PUBLICIDAD,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.06.002,OTRAS DONACIONES Y LEGADOS,"40.000,00","0,00","0,00","40.000,00","0,00"
1.01.00.02.00.07.000,EVENTUALES E IMPREVISTOS,"100.000,00","0,00","190.504,32","0,00","90.504,32"
1.01.00.02.00.08.000,INGRESO MUSEO A CIELO ABIERTO,"40.000,00","0,00","0,00","40.000,00","0,00"
1.02.00.00.00.00.000,DE OTRAS JURIDICCIONES,"63654.000,00","3030.664,49","10978.150,56","52675.849,44","0,00"
1.02.00.01.00.00.000,PARTICIPACION EN IMPUESTOS PCIALESY NAC.,"51954.000,00","3027.441,49","6669.927,56","45284.072,44","0,00"
1.02.00.01.00.02.000,COPARTICIP.IMPOSITIVA ANO ACTUAL,"40000.000,00","2374.237,09","3610.948,43","36389.051,57","0,00"
1.02.00.01.00.03.000,COPARTICIPACION IMPOSITIVA EJERC. ANTER.,"2000.000,00","0,00","1906.000,87","93.999,13","0,00"
1.02.00.01.00.04.000,INGRESOS FO.FIN.DES PROVINCIAL,"6000.000,00","432.562,36","698.490,82","5301.509,18","0,00"
1.02.00.01.00.04.001,CONVENIO SALUD,"6000.000,00","432.562,36","698.490,82","5301.509,18","0,00"
1.02.00.01.00.05.000,FONDO DESCENTRALIZACION ANOS ANTERIORES,"250.000,00","0,00","0,00","250.000,00","0,00"
1.02.00.01.00.06.000,FONDO FEDERAL SOLIDARIO,"2000.000,00","135.340,11","219.615,16","1780.384,84","0,00"
1.02.00.01.00.07.000,Fondo Mant (FODEEMEP),"250.000,00","0,00","36.658,54","213.341,46","0,00"
1.02.00.01.00.08.000,Obra Agua Valle del Sol,"0,00","0,00","0,00","0,00","0,00"
1.02.00.01.00.09.000,Ingresos FASAMU,"1400.000,00","85.301,93","198.213,74","1201.786,26","0,00"
1.02.00.01.00.10.000,FOMMEP,"54.000,00","0,00","0,00","54.000,00","0,00"
1.02.00.02.00.00.000,APORTES NO REINTEGRABLES,"7000.000,00","0,00","2655.000,00","4345.000,00","0,00"
1.02.00.02.00.02.000,SUBVENCIONES Y SUBSIDIOS PCIALES. Y NAC.,"3000.000,00","0,00","655.000,00","2345.000,00","0,00"
1.02.00.02.00.03.000,tranferencia fondo guarderia municipal,"0,00","0,00","0,00","0,00","0,00"
1.02.00.02.00.04.000,Catastrofe Climatologica,"4000.000,00","0,00","2000.000,00","2000.000,00","0,00"
1.02.00.03.00.00.000,OTROS INGRESOS DE OTRAS JURIDICCION,"4700.000,00","3.223,00","1653.223,00","3046.777,00","0,00"
1.02.00.03.00.05.000,OBRAS CONVENIOOS - GOBIERNO DE PCIA,"1500.000,00","0,00","0,00","1500.000,00","0,00"
1.02.00.03.00.06.000,OBRAS CONVENIOS- GOBIERNO DE LA NACION,"1500.000,00","0,00","0,00","1500.000,00","0,00"
1.02.00.03.00.07.000,PLAN VIVIENDA FEDERAL II HOGAR CLASE MEDIA,"0,00","0,00","0,00","0,00","0,00"
1.02.00.03.00.08.000,INGRESOS PLAN SUMAR,"50.000,00","3.223,00","3.223,00","46.777,00","0,00"
1.02.00.03.00.09.000,F.D.URBANO C.C. V DEL SOL,"1650.000,00","0,00","1650.000,00","0,00","0,00"
1.02.00.03.00.10.000,Fondo desarrollo urbano 2017,"0,00","0,00","0,00","0,00","0,00"
2.00.00.00.00.00.000,INGRESOS DE CAPITAL,"5245.000,00","147.150,00","359.400,00","4885.600,00","0,00"
2.01.00.00.00.00.000,USO DEL CREDITO,"1045.000,00","0,00","0,00","1045.000,00","0,00"
2.01.00.01.00.00.000,DE INSTITUCIONES BANCARIAS,"1045.000,00","0,00","0,00","1045.000,00","0,00"
2.01.00.01.00.01.000,BCO. bancor,"20.000,00","0,00","0,00","20.000,00","0,00"
2.01.00.01.00.02.000,Bco Macro,"10.000,00","0,00","0,00","10.000,00","0,00"
2.01.00.01.00.03.000,bco Nacion Argentina,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.04.000,bco roelaondo Permanente,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.05.000,otros bancos,"5.000,00","0,00","0,00","5.000,00","0,00"
2.01.00.01.00.06.000,credito fondo permante,"1000.000,00","0,00","0,00","1000.000,00","0,00"
2.03.00.00.00.00.000,VENTA DE BIENES PATRIMONIALES,"3700.000,00","147.150,00","359.400,00","3340.600,00","0,00"
2.03.00.01.00.00.000,BIENES MUEBLES,"3550.000,00","147.150,00","359.400,00","3190.600,00","0,00"
2.03.00.01.00.04.000,"VTA.CHAPAS PATENTES,SUPLEM., CARNETS, ETC.","3000.000,00","147.150,00","359.400,00","2640.600,00","0,00"
2.03.00.01.00.05.000,VENTAS DE MAQUINARIAS EQUIPOS Y SIMILARES,"500.000,00","0,00","0,00","500.000,00","0,00"
2.03.00.01.00.06.000,OTRAS VENTAS,"50.000,00","0,00","0,00","50.000,00","0,00"
2.03.00.02.00.00.000,BIENES INMUEBLES,"150.000,00","0,00","0,00","150.000,00","0,00"
2.03.00.02.00.04.000,Venta de Terrenos Municipales,"150.000,00","0,00","0,00","150.000,00","0,00"
2.04.00.00.00.00.000,OTROS INGRESOS DE CAPITAL,"500.000,00","0,00","0,00","500.000,00","0,00"
2.04.00.02.00.00.000,EXCEDENTES LIQUIDOS EJERCICIOS ANTERIORES,"500.000,00","0,00","0,00","500.000,00","0,00"
2.04.00.02.00.01.000,SALDO EJERCICIO ANTERIOR (CAJA MAS BANCO,"500.000,00","0,00","0,00","500.000,00","0,00"
3.00.00.00.00.00.000,NO CLASIFICADOS,"9480.000,00","3.295,00","8.240,00","9471.760,00","0,00"
3.01.00.00.00.00.000,CUENTAS DE ORDEN,"9480.000,00","3.295,00","8.240,00","9471.760,00","0,00"
3.01.00.01.00.00.000,POR TRABAOS PUBLICOS,"100.000,00","0,00","0,00","100.000,00","0,00"
3.01.00.01.00.01.000,FONDO POR REPARO,"50.000,00","0,00","0,00","50.000,00","0,00"
3.01.00.01.00.02.000,GARANTIA DE LICITACIONES,"50.000,00","0,00","0,00","50.000,00","0,00"
3.01.00.02.00.00.000,OTRAS CAUSAS,"9380.000,00","3.295,00","8.240,00","9371.760,00","0,00"
3.01.00.02.00.01.000,RETENCION  18%  APORTE PERSONAL,"6000.000,00","0,00","0,00","6000.000,00","0,00"
3.01.00.02.00.02.000,RETENCION DE apross,"1500.000,00","0,00","0,00","1500.000,00","0,00"
3.01.00.02.00.03.000,RETENCION SEGURO DE VIDA,"100.000,00","0,00","0,00","100.000,00","0,00"
3.01.00.02.00.04.000,APORTE SINDICALES,"800.000,00","0,00","0,00","800.000,00","0,00"
3.01.00.02.00.05.000,RETENCIONES TELEFONIA CELULAR,"500.000,00","0,00","0,00","500.000,00","0,00"
3.01.00.02.00.06.000,RETENCION PRESTAMOS PERSONALES,"200.000,00","0,00","0,00","200.000,00","0,00"
3.01.00.02.00.07.000,RETENCION SEGUROS PARTICULARES PERSONAL,"120.000,00","0,00","0,00","120.000,00","0,00"
3.01.00.02.00.08.000,RETENCION GASTOS JUDICIALES,"60.000,00","3.295,00","8.240,00","51.760,00","0,00"
3.01.00.02.00.09.000,RETENCIONES VARIAS,"100.000,00","0,00","0,00","100.000,00","0,00"
