codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.01.01.01.01.02.003,JEFE DEPARTAMENTO 24,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.004,JEFE DEPSRTAMENTO RENTAS Y TESORERIA 24,"121.500,00","10.631,00","41.512,00","79.988,00","21.262,00","41.512,00","0,00"
1.01.01.01.01.02.005,Jefe de Departamento Seguridad Ciudadana,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.006,JEFE Departamento - Contaduria (24),"121.500,00","10.631,00","41.512,00","79.988,00","21.262,00","41.512,00","0,00"
1.01.01.01.01.02.007,JEFE de Departamento Registro Civil (24),"121.500,00","10.631,00","41.512,00","79.988,00","21.262,00","41.512,00","0,00"
1.01.01.01.01.02.008,JEFE de Seccion II - Coordinacion (22),"119.100,00","10.421,00","40.692,00","78.408,00","20.842,00","40.692,00","0,00"
1.01.01.01.01.02.009,JEFE DE SECCION I RENTAS 22,"119.100,00","10.421,00","40.692,00","78.408,00","20.842,00","40.692,00","0,00"
1.01.01.01.01.02.011,Jefe de seccion administrativo 21,"118.092,00","10.333,00","40.348,00","77.744,00","20.666,00","40.348,00","0,00"
1.01.01.01.01.03.000,PERSONAL SUPERIOR ADMINISTRATIVO,"234.312,00","20.565,00","80.182,00","154.130,00","41.130,00","80.182,00","0,00"
1.01.01.01.01.03.001,ADMINISTRATIVO SUPERIOR I   (20),"117.120,00","10.311,00","40.142,00","76.978,00","20.622,00","40.142,00","0,00"
1.01.01.01.01.03.002,Administrativo superior III (18),"117.192,00","10.254,00","40.040,00","77.152,00","20.508,00","40.040,00","0,00"
1.01.01.01.01.04.000,PERSONAL AUXILIAR ADMINISTRATIVO,"768.731,00","57.480,00","206.518,00","562.213,00","114.960,00","206.518,00","0,00"
1.01.01.01.01.04.002,AUXILIAR ADMINISTRATIVO I CAT 17,"348.156,00","30.465,00","118.956,00","229.200,00","60.930,00","118.956,00","0,00"
1.01.01.01.01.04.003,Auxiliar Administrativo X (cat10),"312.192,00","18.212,00","36.424,00","275.768,00","36.424,00","36.424,00","0,00"
1.01.01.01.01.04.004,Auxiliar Admnistrativo IX (cat9),"108.383,00","8.803,00","51.138,00","57.245,00","17.606,00","51.138,00","0,00"
1.01.01.01.01.05.001,Administrativo de Ejecucion II Cat 8,"1280.448,00","84.456,40","316.656,80","963.791,20","168.912,80","316.656,80","0,00"
1.01.01.01.01.06.004,DOCENTE XI (CAT 11),"106.176,00","0,00","0,00","106.176,00","0,00","0,00","0,00"
1.01.01.01.01.06.005,Docente IX (cat 9),"100.596,00","9.106,00","34.978,00","65.618,00","18.212,00","34.978,00","0,00"
1.01.01.01.01.07.001,Tecnico I cat 18,"585.960,00","0,00","0,00","585.960,00","0,00","0,00","0,00"
1.01.01.01.01.07.002,TECNICO EJEC I CAT 8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.01.01.01.09.000,PERS. SUPERIOR DE MAEST. Y SERVICIOS GRALES.,"3978.696,00","298.649,50","999.753,00","2978.943,00","596.811,00","999.753,00","0,00"
1.01.01.01.01.09.001,MAEST SERV GRALES.SUP I 17,"1856.832,00","147.247,50","584.625,00","1272.207,00","294.495,00","584.625,00","0,00"
1.01.01.01.01.09.002,Maestr.y Serv grales Sup XVI(16),"789.684,00","60.342,00","120.684,00","669.000,00","120.684,00","120.684,00","0,00"
1.01.01.01.01.09.003,MAEST SERV GRLES SUP V (15),"225.624,00","0,00","112.812,00","112.812,00","0,00","112.812,00","0,00"
1.01.01.01.01.09.004,Maestr.Serv Grales Suo X (10),"905.364,00","91.060,00","181.632,00","723.732,00","181.632,00","181.632,00","0,00"
1.01.01.01.01.09.005,Maestr. Serv. Grales Sup. IX,"201.192,00","0,00","0,00","201.192,00","0,00","0,00","0,00"
1.01.01.01.01.10.000,Personal de Maestranza y Serv. Grales.,"2514.900,00","155.124,00","690.260,00","1824.640,00","310.248,00","690.260,00","0,00"
1.01.01.01.01.10.001,Maestr. y Serv. Generales I (8),"2011.920,00","155.124,00","477.908,00","1534.012,00","310.248,00","477.908,00","0,00"
1.01.01.01.01.10.002,Maestr. Serv Grales II (8),"502.980,00","0,00","212.352,00","290.628,00","0,00","212.352,00","0,00"
1.01.01.01.01.11.001,Inspectores Ejec I CAT 8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.01.01.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"13595.000,00","1514.711,70","5682.523,97","7912.476,03","3064.202,23","5682.523,97","0,00"
1.01.01.01.02.02.000,GASTOS DE REPRESENTACION INTEND Y SECRETARIOS,"520.000,00","79.020,00","308.560,00","211.440,00","158.040,00","308.560,00","0,00"
1.01.01.01.02.03.000,ANTIGUEDAD,"3600.000,00","550.647,45","2096.267,14","1503.732,86","1101.197,30","2096.267,14","0,00"
1.01.01.01.02.04.000,TITULO,"150.000,00","18.995,15","70.411,08","79.588,92","36.611,42","70.411,08","0,00"
1.01.01.01.02.05.000,RESPONSABILIDAD JERARQUICA,"180.000,00","22.109,70","86.334,00","93.666,00","44.219,40","86.334,00","0,00"
1.01.01.01.02.06.000,RIESGO E INSALUBRIDAD EN LAS TAREAS,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.01.01.02.07.000,SUBROGANCIA,"25.000,00","2.731,80","10.493,60","14.506,40","5.463,60","10.493,60","0,00"
1.01.01.01.02.08.000,QUEBRANTO DE CAJA,"50.000,00","4.973,62","19.993,03","30.006,97","9.885,88","19.993,03","0,00"
1.01.01.01.02.09.000,OTROS SUPLEMENTOS,"3000.000,00","60.793,53","198.075,93","2801.924,07","116.470,55","198.075,93","0,00"
1.01.01.01.02.10.000,ASISTENCIA PERFECTA Y PUNTUALIDAD,"3000.000,00","166.438,78","597.131,48","2402.868,52","326.210,12","597.131,48","0,00"
1.01.01.01.02.11.000,RESPONSABILIDAD TECNICA,"250.000,00","23.410,35","90.957,40","159.042,60","46.723,10","90.957,40","0,00"
1.01.01.01.02.12.000,REFRIGERIO,"700.000,00","96.000,00","336.800,00","363.200,00","192.000,00","336.800,00","0,00"
1.01.01.01.02.13.000,Adicional no remunerativo,"2000.000,00","489.591,32","1790.426,01","209.573,99","950.306,56","1790.426,01","0,00"
1.01.01.01.02.14.000,Bonificacion por Jbilacion,"100.000,00","0,00","77.074,30","22.925,70","77.074,30","77.074,30","0,00"
1.01.01.01.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00"
1.01.01.01.03.01.000,AGUINALDO PERSONAL PERMANENTE,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00"
1.01.01.01.04.00.000,APORTE PATRONAL JUBILATORIO,"5000.000,00","321.437,83","2030.566,78","2969.433,22","321.437,83","2030.566,78","0,00"
1.01.01.01.04.01.000,APORTE 20% P/PERSONAL PERMANENTE,"5000.000,00","321.437,83","2030.566,78","2969.433,22","321.437,83","2030.566,78","0,00"
1.01.01.01.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"1400.000,00","152.963,87","959.831,66","440.168,34","175.069,39","918.023,13","41.808,53"
1.01.01.01.05.01.000,FONDO MEDICO ASISTENCIAL (apross),"900.000,00","111.155,34","739.443,59","160.556,41","133.993,87","739.443,59","0,00"
1.01.01.01.05.02.000,SEGUROS ART,"500.000,00","41.808,53","220.388,07","279.611,93","41.075,52","178.579,54","41.808,53"
1.01.01.01.06.00.000,SUPLENCIAS Y LICENCIAS,"50.000,00","0,00","3.644,00","46.356,00","0,00","3.644,00","0,00"
1.01.01.01.06.01.000,PARA PAGO DE SUPLENCIAS Y LICENCIAS,"50.000,00","0,00","3.644,00","46.356,00","0,00","3.644,00","0,00"
1.01.01.01.07.00.000,DEUDAS PERSONAL PERMANENTE,"6100.000,00","0,00","6058.674,52","41.325,48","0,00","6058.674,52","0,00"
1.01.01.01.07.01.000,DEUDAS VARIAS,"6100.000,00","0,00","6058.674,52","41.325,48","0,00","6058.674,52","0,00"
1.01.01.01.08.00.000,CAPACITACION PERSONAL,"30.000,00","0,00","1.900,00","28.100,00","700,00","1.900,00","0,00"
1.01.01.02.01.00.000,RETRIBUCIONES,"500.000,00","39.931,83","171.805,17","328.194,83","71.431,65","171.805,17","0,00"
1.01.01.02.01.01.000,PERSONAL CONTRATADO,"500.000,00","39.931,83","171.805,17","328.194,83","71.431,65","171.805,17","0,00"
1.01.01.02.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"450.000,00","115.200,00","115.200,00","334.800,00","115.200,00","115.200,00","0,00"
1.01.01.02.02.01.000,ANTIGUEDAD,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00"
1.01.01.02.02.02.000,OTROS SUPLEMENTOS,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00"
1.01.01.02.02.03.000,Adicional no Remunerativo Pers. no permanente,"300.000,00","115.200,00","115.200,00","184.800,00","115.200,00","115.200,00","0,00"
1.01.01.02.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00"
1.01.01.02.03.01.000,AGUINALDO PERSONAL NO PERMANENTE,"150.000,00","0,00","0,00","150.000,00","0,00","0,00","0,00"
1.01.01.02.04.00.000,APORTE PATRONAL JUBILATORIO,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00"
1.01.01.02.04.01.000,APORTE 20% PERSONAL NO PERMANENTE,"250.000,00","0,00","0,00","250.000,00","0,00","0,00","0,00"
1.01.01.02.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"70.000,00","0,00","3.059,00","66.941,00","0,00","3.059,00","0,00"
1.01.01.02.05.01.000,FONDO ASISTENCIAL(A.PRO.S.S.),"60.000,00","0,00","0,00","60.000,00","0,00","0,00","0,00"
1.01.01.02.05.02.000,SEGUROS AL PERSONAL,"10.000,00","0,00","3.059,00","6.941,00","0,00","3.059,00","0,00"
1.01.01.02.06.00.000,DEUDAS PERSONAL TEMPORARIO,"260.000,00","84.400,00","258.772,33","1.227,67","84.400,00","258.772,33","0,00"
1.01.01.02.06.01.000,DEUDAS VARIAS,"260.000,00","84.400,00","258.772,33","1.227,67","84.400,00","258.772,33","0,00"
1.01.01.03.00.00.000,SALARIO FAMILIAR,"1000.000,00","133.831,00","512.792,00","487.208,00","313.739,00","512.792,00","0,00"
1.01.01.04.00.00.000,SERVICIOS EXTRAORDINARIOS,"400.000,00","110.688,38","310.423,16","89.576,84","203.293,49","310.423,16","0,00"
1.01.01.05.00.00.000,ASISTENCIA SOCIAL AL PERSONAL,"30.000,00","479,60","19.102,45","10.897,55","479,60","15.209,83","3.892,62"
1.01.01.06.00.00.000,CREDITO ADICIONAL P/INCREMENTOS SALARIALES,"4100.000,00","0,00","0,00","4100.000,00","0,00","0,00","0,00"
1.01.01.07.00.00.000,Credito Adicional para escalafonamiento,"897.413,00","0,00","0,00","897.413,00","0,00","0,00","0,00"
1.01.02.00.00.00.000,BIENES DE CONSUMO,"7004.000,00","413.492,58","2488.751,31","4515.248,69","315.196,82","1457.878,82","1030.872,49"
1.01.02.01.01.00.000,PALA CARGADORA MUNICIPAL,"50.000,00","7.809,01","27.318,04","22.681,96","0,00","5.017,00","22.301,04"
1.01.02.01.02.00.000,MOTONIVELADORA MUNICIPAL,"120.000,00","19.398,02","100.117,75","19.882,25","0,00","7.940,00","92.177,75"
1.01.02.01.03.00.000,CAMION FORD 14000,"70.000,00","6.909,97","25.375,04","44.624,96","0,00","245,00","25.130,04"
1.01.02.01.04.00.000,FORD RANGER,"40.000,00","3.200,03","15.835,03","24.164,97","0,00","2.715,00","13.120,03"
1.01.02.01.05.00.000,FIAT FIORINO (gobierno),"40.000,00","200,00","4.400,02","35.599,98","0,00","2.200,06","2.199,96"
1.01.02.01.06.00.000,RENAULT EXPRESS (compras),"30.000,00","2.950,01","7.385,04","22.614,96","0,00","0,00","7.385,04"
1.01.02.01.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"45.000,00","8.425,04","30.839,93","14.160,07","0,00","0,00","30.839,93"
1.01.02.01.08.00.000,CAMION COMPACTADOR (RECOL. DE RESIDUOS),"100.000,00","15.995,00","80.736,30","19.263,70","0,00","2.655,00","78.081,30"
1.01.02.01.09.00.000,Tractor Hanomag,"20.000,00","1.499,98","9.393,02","10.606,98","0,00","4.143,00","5.250,02"
1.01.02.01.10.00.000,FORD F 100 HIDROELEVADOR (ALUMBRADO),"60.000,00","6.199,71","26.449,23","33.550,77","6.499,79","22.199,38","4.249,85"
1.01.02.01.11.00.000,RENAULT MASTER,"80.000,00","6.110,00","17.010,02","62.989,98","0,00","0,00","17.010,02"
1.01.02.01.12.00.000,CAMION SCANIA (AGUA),"80.000,00","8.045,00","45.060,12","34.939,88","95,00","95,00","44.965,12"
1.01.02.01.13.00.000,Renault Kangoo (espacios verdes),"30.000,00","3.199,96","11.285,58","18.714,42","199,95","5.435,57","5.850,01"
1.01.02.01.14.00.000,Renault Kangoo (medio ambiente),"20.000,00","700,01","3.349,87","16.650,13","700,01","3.349,87","0,00"
1.01.02.01.15.00.000,Ford F 100 (servicios publicos),"40.000,00","9.759,96","28.996,97","11.003,03","120,00","645,00","28.351,97"
1.01.02.01.16.00.000,otros vehiculos,"90.000,00","23.174,23","89.151,51","848,49","7.449,79","31.940,82","57.210,69"
1.01.02.02.01.00.000,PALA CARGADORA MUNICIPAL,"50.000,00","0,00","41.420,50","8.579,50","14.000,00","41.420,50","0,00"
1.01.02.02.02.00.000,MOTONIVELADORA MUNICIPAL (2),"70.000,00","822,40","12.694,42","57.305,58","7.800,02","12.172,02","522,40"
1.01.02.02.03.00.000,CAMION FORD 14000,"50.000,00","10.200,00","17.050,00","32.950,00","4.400,00","11.250,00","5.800,00"
1.01.02.02.04.00.000,FORD RANGER,"80.000,00","0,00","940,00","79.060,00","0,00","940,00","0,00"
1.01.02.02.05.00.000,FIAT FIORINO (gobierno),"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00"
1.01.02.02.06.00.000,RENAULT EXPRESS (compras),"30.000,00","0,00","400,00","29.600,00","0,00","0,00","400,00"
1.01.02.02.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"30.000,00","190,00","5.351,50","24.648,50","0,00","5.161,50","190,00"
1.01.02.02.08.00.000,CAMION COMPACTADOR (RECOL. RESIDUOS),"80.000,00","3.782,30","19.322,32","60.677,68","1.000,00","16.140,02","3.182,30"
1.01.02.02.09.00.000,tractor Hanomag,"30.000,00","0,00","0,00","30.000,00","0,00","0,00","0,00"
1.01.02.02.10.00.000,FORD F 100 HIDROELEVADOR (ALUMBRADO),"30.000,00","2.568,00","4.892,99","25.107,01","144,99","2.324,99","2.568,00"
1.01.02.02.11.00.000,RENAULT MASTER,"20.000,00","729,99","1.314,99","18.685,01","330,00","890,00","424,99"
1.01.02.02.12.00.000,CAMION SCANIA (agua),"20.000,00","0,00","16.639,50","3.360,50","0,00","16.639,50","0,00"
1.01.02.02.13.00.000,renault kango (espacios verdes),"20.000,00","0,00","1.275,00","18.725,00","1.275,00","1.275,00","0,00"
1.01.02.02.14.00.000,Renault kango (mendioa ambiente),"20.000,00","0,00","4.830,00","15.170,00","0,00","4.830,00","0,00"
1.01.02.02.15.00.000,Ford F 100 (servicios publicos),"20.000,00","3.440,00","3.565,00","16.435,00","2.950,00","3.075,00","490,00"
1.01.02.02.16.00.000,Adq Repuestos Mar Espacis Verdes,"50.000,00","2.330,00","34.541,29","15.458,71","2.330,00","34.541,29","0,00"
1.01.02.02.17.00.000,otros vehiculos,"10.000,00","0,00","440,00","9.560,00","0,00","440,00","0,00"
1.01.02.03.01.00.000,ADMINISTRACION MUNICIPAL,"100.000,00","5.177,00","89.601,85","10.398,15","3.297,64","75.946,69","13.655,16"
1.01.02.03.02.00.000,OFICINA DE FALTAS,"7.000,00","755,00","3.464,70","3.535,30","990,00","3.269,70","195,00"
1.01.02.03.03.00.000,HOGAR DE DIA,"3.000,00","0,00","0,00","3.000,00","0,00","0,00","0,00"
1.01.02.03.04.00.000,GUARDERIA,"5.000,00","891,57","2.751,57","2.248,43","891,57","2.751,57","0,00"
1.01.02.03.06.00.000,SALON CULTURAL,"5.000,00","275,00","435,00","4.565,00","275,00","435,00","0,00"
1.01.02.03.07.00.000,OTRAS OFICINAS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.04.01.00.000,ADMINISTRACION MUNICIPAL,"65.000,00","26.388,06","49.841,36","15.158,64","24.696,04","44.449,76","5.391,60"
1.01.02.04.02.00.000,OFICINA DE FALTAS,"5.000,00","1.209,00","4.184,50","815,50","929,00","3.486,50","698,00"
1.01.02.04.03.00.000,HOGAR DE DIA,"8.000,00","1.373,00","5.007,00","2.993,00","1.015,00","4.594,00","413,00"
1.01.02.04.04.00.000,GUARDERIA,"8.000,00","960,00","3.844,99","4.155,01","1.015,00","3.844,99","0,00"
1.01.02.04.06.00.000,SALON CULTURAL,"10.000,00","2.544,00","7.354,00","2.646,00","1.584,00","5.910,00","1.444,00"
1.01.02.04.07.00.000,OTRAS OFICINAS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.05.00.00.000,MATERIALES PARA CONSERVACION,"70.000,00","10.186,50","33.558,28","36.441,72","4.495,74","26.008,28","7.550,00"
1.01.02.06.01.00.000,PALA CARGADORA MUNICIPAL,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.02.00.000,MOTONIVELADORA MUNICIPAL (2),"130.000,00","0,00","66.350,00","63.650,00","0,00","65.950,00","400,00"
1.01.02.06.03.00.000,CAMION FORD 14000,"40.000,00","5.800,00","12.000,00","28.000,00","5.800,00","12.000,00","0,00"
1.01.02.06.04.00.000,FORD RANGER,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.06.05.00.000,FIAT FIORINO (gobierno),"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.06.06.00.000,RENAULT EXPRESS Y KANGOO (ESPACIOS VERDES),"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.06.07.00.000,FIAT PALIO (OBRAS PRIVADAS),"7.000,00","0,00","2.900,00","4.100,00","0,00","2.900,00","0,00"
1.01.02.06.08.00.000,CAMION COMPACTADOR (RECOLEC. RESIDUOS),"70.000,00","24.060,00","24.060,00","45.940,00","24.060,00","24.060,00","0,00"
1.01.02.06.09.00.000,tractor Hanomg,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00"
1.01.02.06.10.00.000,FORDS F 100 HIDROELEVADOR (ALUMBRADO),"20.000,00","16.500,00","16.500,00","3.500,00","0,00","0,00","16.500,00"
1.01.02.06.11.00.000,Renault MasterS,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.12.00.000,CAMION SCANIA (AGUA),"30.000,00","29.534,00","29.534,00","466,00","29.534,00","29.534,00","0,00"
1.01.02.06.13.00.000,Renaul Kango (espacios verdes),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.14.00.000,Reanult Kango (medio ambiente),"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.02.06.15.00.000,Ford F 100 (SERVICIOS PUBLICOS),"10.000,00","0,00","450,00","9.550,00","0,00","0,00","450,00"
1.01.02.06.16.00.000,Cub Vehiculos espacios verdes,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.06.17.00.000,otros vehiculos,"10.000,00","0,00","0,00","10.000,00","0,00","0,00","0,00"
1.01.02.07.00.00.000,ADQUISICION DE MATERIALES DE CONSTRUCCION,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.08.00.00.000,ADQUIS. DE MAT. Y PROD. FARMACEUTICOS,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.09.00.00.000,RACIMIENTO Y ALIMENTOS,"50.000,00","2.380,00","14.043,43","35.956,57","3.920,43","14.043,43","0,00"
1.01.02.10.01.00.000,DIARIOS Y REVISTAS DEL MUNICIPIO,"20.000,00","2.387,00","16.259,00","3.741,00","5.710,00","13.872,00","2.387,00"
1.01.02.10.02.00.000,PRODUCTOS DE FORRAJERIA,"3.000,00","0,00","910,00","2.090,00","0,00","910,00","0,00"
1.01.02.10.03.00.000,"INSUMOS DE MAQUINARIAS (PILAS, TANZAS, ETC)","30.000,00","4.000,04","16.871,09","13.128,91","0,00","2.525,00","14.346,09"
1.01.02.10.04.00.000,BIDONES DE AGUA,"10.000,00","1.245,00","5.470,00","4.530,00","670,00","4.225,00","1.245,00"
1.01.02.10.05.00.000,OTROS DE CONSUMO,"25.000,00","2.167,60","6.577,60","18.422,40","30,00","4.440,00","2.137,60"
1.01.02.11.00.00.000,DEUDAS DE BIENES DE CONSUMO EJERC. ANTERIOR.,"800.000,00","0,00","797.072,50","2.927,50","71.666,06","594.380,19","202.692,31"
1.01.02.12.00.00.000,CREDITO ADICIONAL P/REFUERZO DE PARTIDA,"2183.000,00","0,00","0,00","2183.000,00","0,00","0,00","0,00"
1.01.02.15.01.00.000,PERSONAL DE MAESTRANZA,"350.000,00","3.324,00","192.510,51","157.489,49","10.721,08","17.985,34","174.525,17"
1.01.02.15.02.00.000,AUXILIAR DE LIMPIEZA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.03.00.000,PERSONAL DE GUARDERIA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.04.00.000,PERSONAL HOGAR DE DIA,"5.000,00","0,00","0,00","5.000,00","0,00","0,00","0,00"
1.01.02.15.06.00.000,PERSONAL DE SEGURIDAD CIUDADANA,"130.000,00","20.288,25","35.326,13","94.673,87","0,00","6.745,60","28.580,53"
1.01.02.15.07.00.000,PERSONAL DEFENSA CIVIL,"15.000,00","0,00","0,00","15.000,00","0,00","0,00","0,00"
1.01.02.15.08.00.000,Personal Espacios Verdes,"15.000,00","1.086,66","10.255,23","4.744,77","0,00","6.837,25","3.417,98"
1.01.02.15.09.00.000,PERSONAL ADMINISTRACION MUNICIPAL,"70.000,00","27.140,00","27.140,00","42.860,00","0,00","0,00","27.140,00"
1.01.02.17.01.00.000,COMBUSTIBLES Y LUBRICANTES,"270.000,00","23.372,74","102.148,07","167.851,93","20.268,34","89.725,69","12.422,38"
1.01.02.17.02.00.000,ADQUISICION DE REPUESTOS,"40.000,00","700,00","22.531,45","17.468,55","2.100,00","19.545,00","2.986,45"
1.01.02.17.03.00.000,CAMARAS Y CUBIERTAS,"35.000,00","0,00","120,00","34.880,00","0,00","120,00","0,00"
1.01.02.17.04.00.000,ELEMENTOS DE CAFETERIA Y LIMPIEZA,"45.000,00","3.709,00","16.624,12","28.375,88","5.626,00","14.139,12","2.485,00"
1.01.02.17.05.00.000,"UTILES, IMPRESOS, DIGITALIZACIONES Y PAPELERI","45.000,00","7.600,83","15.079,36","29.920,64","3.030,00","7.083,12","7.996,24"
1.01.02.17.06.00.000,INSUMOS DE SEGURIDAD VIAL,"40.000,00","0,00","1.328,75","38.671,25","0,00","270,00","1.058,75"
1.01.02.17.07.00.000,VARIOS DE SEGURIDAD CIUDADANA,"30.000,00","3.287,00","16.890,38","13.109,62","10.261,00","15.874,38","1.016,00"
1.01.02.18.01.00.000,ALIMENTOS,"145.000,00","455,00","6.616,90","138.383,10","4.831,90","6.516,90","100,00"
1.01.02.19.01.00.000,ALIMENTOS,"280.000,00","32.181,71","131.094,53","148.905,47","23.368,55","81.441,95","49.652,58"
1.01.02.20.00.00.000,CONSUMO AREA DE AMBIENTE,"30.000,00","4.876,00","14.664,03","15.335,97","5.115,92","12.377,84","2.286,19"
1.01.02.21.01.00.000,Combustible defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.02.00.000,Respuestos Defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.03.00.000,Insumos Defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.04.00.000,Adq cubiertas y camaras defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.02.21.05.00.000,varios defensa civil,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.03.00.00.00.000,SERVICIOS,"20136.000,00","1566.234,87","10097.461,60","10038.538,40","3836.179,21","7485.235,20","2612.226,40"
1.01.03.01.01.00.000,EDIFICIO MUNICIPAL,"43.000,00","0,00","2.365,15","40.634,85","0,00","0,00","2.365,15"
